[INFO ] 2016-12-14 20:19:56,632 -- WorkingPath: /home/kpour2001/IdeaProjects/CARSKit/context-aware_data_sets/Music_InCarMusic/CARSKit.Workspace/
[INFO ] 2016-12-14 20:19:56,638 -- Your original rating data path: /home/kpour2001/IdeaProjects/CARSKit/context-aware_data_sets/Music_InCarMusic/Data_InCarMusic.csv
[INFO ] 2016-12-14 20:19:56,638 -- Current working path: /home/kpour2001/IdeaProjects/CARSKit/context-aware_data_sets/Music_InCarMusic/CARSKit.Workspace/
[WARN ] 2016-12-14 20:19:56,639 -- You rating data is in Compact format. CARSKit is working on transformation on the data format...
[INFO ] 2016-12-14 20:19:56,757 -- Data transformaton completed (from Compact to Binary format). See new rating file: /home/kpour2001/IdeaProjects/CARSKit/context-aware_data_sets/Music_InCarMusic/CARSKit.Workspace/ratings_binary.txt
[INFO ] 2016-12-14 20:19:56,767 -- Dataset: ...ARSKit.Workspace/ratings_binary.txt
[INFO ] 2016-12-14 20:19:56,768 -- DataPath: /home/kpour2001/IdeaProjects/CARSKit/context-aware_data_sets/Music_InCarMusic/CARSKit.Workspace/ratings_binary.txt
[INFO ] 2016-12-14 20:19:56,888 -- Rating data set has been successfully loaded.
[INFO ] 2016-12-14 20:19:56,897 -- 
/***************************************************************************************************************************************************
 *
 * Dataset: /home/kpour2001/IdeaProjects/CARSKit/context-aware_data_sets/Music_InCarMusic/CARSKit.Workspace/ratings_binary.txt
 * 
 * Statistics of U-I-C Matrix:
 * User amount: 42
 * Item amount: 139
 * Rate amount: 3938
 * Context dimensions: 8 (drivingstyle, landscape, mood, naturalphenomena, roadtype, sleepiness, trafficconditions, weather)
 * Context conditions: 34 (drivingstyle: 3, landscape: 5, mood: 5, naturalphenomena: 5, roadtype: 4, sleepiness: 3, trafficconditions: 4, weather: 5)
 * Context situations: 27
 * Data density: 0.0007%
 * Scale distribution: [2.0 x 705, 4.0 x 513, 0.0 x 122, 1.0 x 1452, 5.0 x 494, 3.0 x 652]
 * Average value of all ratings: 2.447647
 * Standard deviation of all ratings: 1.474440
 * Mode of all rating values: 1.000000
 * Median of all rating values: 2.000000
 *
 ***************************************************************************************************************************************************/
[INFO ] 2016-12-14 20:19:56,898 -- With Setup: cv -k 5 -p on --rand-seed 1 --test-view all
[DEBUG] 2016-12-14 20:19:56,915 -- Fold [1]: training amount: 3029, test amount: 753
[DEBUG] 2016-12-14 20:19:56,924 -- Fold [2]: training amount: 3025, test amount: 757
[DEBUG] 2016-12-14 20:19:56,930 -- Fold [3]: training amount: 3023, test amount: 759
[DEBUG] 2016-12-14 20:19:56,937 -- Fold [4]: training amount: 3025, test amount: 757
[DEBUG] 2016-12-14 20:19:56,945 -- Fold [5]: training amount: 3026, test amount: 756
[DEBUG] 2016-12-14 20:19:57,168 -- SVD++ fold [4] iter 1: loss = 692.1175, delta_loss = -692.1175, learn_rate = 0.02
[DEBUG] 2016-12-14 20:19:57,196 -- SVD++ fold [3] iter 1: loss = 689.9879, delta_loss = -689.9879, learn_rate = 0.02
[DEBUG] 2016-12-14 20:19:57,199 -- SVD++ fold [1] iter 1: loss = 697.7953, delta_loss = -697.7953, learn_rate = 0.02
[DEBUG] 2016-12-14 20:19:57,215 -- SVD++ fold [2] iter 1: loss = 690.89465, delta_loss = -690.89465, learn_rate = 0.02
[DEBUG] 2016-12-14 20:19:57,242 -- SVD++ fold [5] iter 1: loss = 716.6978, delta_loss = -716.6978, learn_rate = 0.02
[DEBUG] 2016-12-14 20:19:57,245 -- SVD++ fold [4] iter 2: loss = 614.1039, delta_loss = 78.01361, learn_rate = 0.02
[DEBUG] 2016-12-14 20:19:57,245 -- SVD++ fold [3] iter 2: loss = 608.9281, delta_loss = 81.059784, learn_rate = 0.02
[DEBUG] 2016-12-14 20:19:57,245 -- SVD++ fold [1] iter 2: loss = 611.7584, delta_loss = 86.03688, learn_rate = 0.02
[DEBUG] 2016-12-14 20:19:57,249 -- SVD++ fold [2] iter 2: loss = 604.02716, delta_loss = 86.86747, learn_rate = 0.02
[DEBUG] 2016-12-14 20:19:57,439 -- SVD++ fold [1] iter 3: loss = 549.1828, delta_loss = 62.5756, learn_rate = 0.021
[DEBUG] 2016-12-14 20:19:57,439 -- SVD++ fold [4] iter 3: loss = 561.16754, delta_loss = 52.93638, learn_rate = 0.021
[DEBUG] 2016-12-14 20:19:57,440 -- SVD++ fold [3] iter 3: loss = 555.5617, delta_loss = 53.366436, learn_rate = 0.021
[DEBUG] 2016-12-14 20:19:57,440 -- SVD++ fold [5] iter 2: loss = 626.2892, delta_loss = 90.40863, learn_rate = 0.02
[DEBUG] 2016-12-14 20:19:57,441 -- SVD++ fold [2] iter 3: loss = 541.77185, delta_loss = 62.25533, learn_rate = 0.021
[DEBUG] 2016-12-14 20:19:57,451 -- SVD++ fold [1] iter 4: loss = 488.8301, delta_loss = 60.35272, learn_rate = 0.022049999
[DEBUG] 2016-12-14 20:19:57,453 -- SVD++ fold [4] iter 4: loss = 512.0724, delta_loss = 49.095108, learn_rate = 0.022049999
[DEBUG] 2016-12-14 20:19:57,453 -- SVD++ fold [3] iter 4: loss = 507.47104, delta_loss = 48.090633, learn_rate = 0.022049999
[DEBUG] 2016-12-14 20:19:57,454 -- SVD++ fold [5] iter 3: loss = 567.45264, delta_loss = 58.83652, learn_rate = 0.021
[DEBUG] 2016-12-14 20:19:57,455 -- SVD++ fold [2] iter 4: loss = 486.47247, delta_loss = 55.299366, learn_rate = 0.022049999
